Name:ID¶Signifier¶Statement¶Source
Rule1063¶"A water boundary may be adopted"¶"An existing water boundary may be adopted when the margin of the water body has moved as a result of accretion only if all of the following are true:
|- the margin of the water body has not also moved as a result of erosion or the water boundary is an accepted boundary
|- the CSD does not have a survey purpose that is a claim for accretion."¶"Cadastral Survey Rules 2021: r 10(2)(b)"
Rule1068¶"A water centreline boundary may be adopted"¶"An existing irregular boundary that followed the centre-line of a water body may be adopted only if the existing irregular boundary is adopted as a water centre-line boundary."¶"Cadastral Survey Rules 2021: r 11(2)"
Rule1393¶"A water centreline boundary use"¶"A new boundary must not be a water centre-line boundary."¶"Cadastral Survey Rules 2021: r 11(3)"
Rule1031¶"Acceptance of existing boundary 2"¶"A boundary that defines a primary parcel must not be an accepted boundary if there is a risk of the boundary encroaching on another parcel."¶"Cadastral Survey Rules 2021: r 15(2)(a)"
Rule1032¶"Acceptance of existing boundary 3"¶"A boundary that defines a new primary parcel must not be an accepted boundary if the primary parcel is not a majority successor parcel."¶"Cadastral Survey Rules 2021: r 15(2)(b)"
Rule1033¶"Acceptance of existing boundary 4"¶"A boundary that defines a primary parcel must not be an accepted boundary if all of the following are false:
|- the boundary is a right-line boundary that does not have a boundary bearing or have a boundary distance in an approved CSD
|- the boundary has a boundary bearing that is a magnetic bearing and the reorientation of the boundary bearing cannot be determined without measurement
|- the boundary defines a balance parcel that is included in a title that is to remain limited as to parcels and accuracy [relative] between boundary points included in the boundary does not meet class C accuracy
|- the boundary defines a balance parcel that is included in a title that is to remain a Hawkes Bay interim title and accuracy [relative] between boundary points included in the boundary does not meet class C accuracy
|- the boundary is a water boundary or a water centre-line boundary that defines a balance parcel that is included in a title that is to remain limited as to parcels 
|- the boundary is a water boundary or a water centre-line boundary that defines a balance parcel that is included in a title that is to remain Hawkes bay interim title
|- the boundary is an existing irregular boundary."¶"Cadastral Survey Rules 2021: r 15(2)(c)"
Rule1040¶"Acceptance of existing boundary point"¶"A boundary point must be accepted if the boundary point is included in an accepted boundary."¶"Cadastral Survey Rules 2021: r 15(2); r 54"
Rule1286¶"Accepting existing water boundaries"¶"A boundary must be considered an accepted water boundary if all of the following are true:
|- the boundary is a new water boundary coinciding with an existing water boundary that defines a primary parcel
|- the boundary defines a non-primary parcel over a hydro parcel.
|
|A new water boundary that defines a non-primary parcel coinciding with an existing water boundary that defines a primary parcel must be considered an accepted water boundary only if the non-primary parcel overlies a hydro parcel."¶"Cadastral Survey Rules 2021: r 65; r 67"
Rule1072¶"Accounting for erosion when water boundary not accepted"¶"An existing water boundary must be defined by survey if all of the following are true:
|- the margin of the water body has moved as a result of erosion
|- the water boundary is not an accepted boundary."¶"Cadastral Survey Rules 2021: r 10(2)(a)"
Rule1083¶"Accretion, stream bed and adverse possesion area"¶"An area [quantity] must be assigned to a portion of land that has any of the following survey purpose:
|- a claim for accretion
|- a claim for a dry stream bed 
|- a claim for adverse possession."¶"Cadastral Survey Rules 2021: r 41(3)"
Rule1458¶"Accuracy [positional] for right line boundary intersecting a water or irregular boundary 1"¶"The boundary bearing of a right line boundary that intersects a water or irregular boundary must be defined to a level of accuracy [positional] that is consistent with the accuracy class of the right line boundary."¶"Cadastral Survey Rules 2021: r 30(a)"
Rule1459¶"Accuracy [positional] for right line boundary intersecting a water or irregular boundary 2"¶"The boundary distance of a right line boundary that intersects a water or irregular boundary must be defined to a level of accuracy [positional] that is consistent with the accuracy [positional] of the water or irregular boundary."¶"Cadastral Survey Rules 2021: r 30(b)"
Rule1473¶"Accuracy [positional] for right line boundary intersecting an accepted water boundary 1"¶"The boundary bearing of a right line boundary that intersects an accepted water boundary must be defined to a level of accuracy [positional] that is consistent with the accuracy class of the right line boundary."¶"Cadastral Survey Rules 2021: r 69(1)(a)"
Rule1474¶"Accuracy [positional] for right line boundary intersecting an accepted water boundary 2"¶"The boundary distance of a right line boundary that intersects an accepted water boundary must be defined to a level of accuracy [positional] that is consistent with the accuracy [positional] of the water boundary."¶"Cadastral Survey Rules 2021: r 69(1)(b)"
Rule1475¶"Accuracy [positional] for right line boundary intersecting an offset water boundary 1"¶"A boundary bearing of a right line boundary that intersects an offset water boundary must meet a level of accuracy [positional] that is consistent with the accuracy class of the right line boundary."¶"Cadastral Survey Rules 2021: r 69(2)(a)"
Rule1476¶"Accuracy [positional] for right line boundary intersecting an offset water boundary 2"¶"The boundary distance of a right line boundary that intersects an offset water boundary need not be defined."¶"Cadastral Survey Rules 2021: r 69(2)(b)"
Rule1088¶"Accuracy sufficient to avoid overlap"¶"A boundary point that is included in a new boundary must be considered a boundary point that is accurately defined only if the accuracy [relative] between the boundary point and each other boundary point that is included in another boundary is less than the horizontal distance and less than the slope distance between the boundary points.
|
|A boundary must be defined 
|
|must be determined to a sufficient level of accuracy to address the risk of incompatible rights overlapping"¶"Cadastral Survey Rules 2021: r 28"
